lat,lon,elevation
43.133,76.887,1551.0
43.109,77.028,3031.0
43.164,77.104,2369.0
43.051,77.015,3118.0
43.175,77.105,2011.0
43.136,76.904,1287.0
43.057,77.004,2964.0
43.138,76.886,1379.0
43.114,76.977,2250.0
43.082,76.995,2360.0
43.172,76.823,1001.0
43.073,77.046,3658.0
43.101,76.95,1820.0
43.188,76.961,1236.0
43.189,77.001,1213.0
43.185,77.004,1248.0
43.191,76.842,943.0
43.176,77.086,1884.0
43.081,77.058,3597.0
43.177,77.056,1558.0
43.152,76.858,1231.0
43.086,77.036,3430.0
43.155,76.991,1805.0
43.143,76.843,1437.0
43.159,76.87,1213.0
43.127,76.894,1510.0
43.165,76.793,1027.0
43.135,76.898,1351.0
43.165,76.817,1070.0
43.056,76.99,2593.0
43.188,76.981,1232.0
43.161,76.87,1193.0
43.177,77.02,1437.0
43.042,77.047,3598.0
43.185,77.002,1276.0
43.168,77.064,1893.0
43.176,76.971,1282.0
43.158,76.964,1423.0
43.123,76.958,2003.0
43.118,77.019,2774.0
43.091,76.987,2415.0
43.167,76.893,1110.0
43.081,76.911,1936.0
43.178,76.943,1234.0
43.129,76.927,1653.0
43.16,76.91,1175.0
43.172,76.973,1330.0
43.172,77.014,1361.0
43.127,77.063,2482.0
43.171,76.82,1013.0
43.181,77.035,1568.0
43.101,76.943,1652.0
43.176,76.868,1046.0
43.152,77.046,1969.0
43.187,76.924,1028.0
43.077,76.982,2050.0
43.087,77.018,2936.0
43.164,76.887,1124.0
43.077,77.085,3273.0
43.195,77.126,1859.0
43.052,77.038,3354.0
43.149,76.886,1220.0
43.159,76.89,1148.0
43.19,76.86,978.0
43.184,77.014,1318.0
43.083,77.08,3035.0
43.169,76.954,1289.0
43.142,76.996,2184.0
43.135,76.863,1400.0
43.05,76.988,2508.0
43.167,76.802,1037.0
43.176,76.951,1262.0
43.089,76.986,2351.0
43.145,76.825,1406.0
43.136,76.932,1859.0
43.192,77.021,1407.0
43.183,76.996,1374.0
43.152,76.811,1238.0
43.072,77.041,3395.0
43.047,77.064,3836.0
43.193,76.965,1184.0
43.077,77.005,2385.0
43.052,76.977,2618.0
43.057,77.032,3094.0
43.056,76.962,2790.0
43.158,76.824,1173.0
43.084,77.03,3280.0
43.143,76.882,1336.0
43.106,76.963,2255.0
43.307,76.917,718.0
43.223,76.977,1043.0
43.314,76.805,780.0
43.243,76.906,808.0
43.333,76.975,687.0
43.249,76.904,795.0
43.336,76.829,738.0
43.271,76.835,747.0
43.22,76.984,1056.0
43.233,76.988,1099.0
43.274,76.835,746.0
43.239,76.938,853.0
43.245,76.914,806.0
43.23,76.954,923.0
43.352,76.992,670.0
43.371,77.078,675.0
43.207,76.895,933.0
43.293,76.908,736.0
43.297,76.851,731.0
43.351,77.008,674.0
43.297,76.919,726.0
43.384,76.98,652.0
43.268,76.981,793.0
43.308,76.783,738.0
43.272,76.954,761.0
43.337,76.868,729.0
43.24,76.859,794.0
43.347,76.85,691.0
43.21,77.057,1666.0
43.305,76.941,714.0
43.31,76.958,705.0
43.353,76.993,671.0
43.23,77.03,1287.0
43.279,76.985,763.0
43.293,76.86,730.0
43.216,76.921,895.0
43.211,77.036,1437.0
43.29,76.857,736.0
43.277,76.93,751.0
43.314,76.853,715.0
43.286,76.826,760.0
43.256,76.852,762.0
43.316,76.885,701.0
43.358,76.985,664.0
43.215,76.939,930.0
43.305,77.017,712.0
43.221,76.91,875.0
43.285,76.815,780.0
43.277,76.976,758.0
43.302,76.757,737.0
43.312,76.862,723.0
43.308,76.982,707.0
43.37,76.978,659.0
43.262,76.864,757.0
43.325,76.858,730.0
43.267,76.981,791.0
43.329,76.972,691.0
43.348,76.835,702.0
43.346,76.933,685.0
43.26,76.973,794.0
43.372,77.01,659.0
43.263,76.818,757.0
43.329,76.874,726.0
43.274,76.903,754.0
43.348,76.964,669.0
43.21,76.927,926.0
43.27,76.897,754.0
43.254,76.943,812.0
43.235,76.842,800.0
43.241,76.893,806.0
43.33,76.923,700.0
43.236,76.874,814.0
43.299,76.873,734.0
43.243,76.827,775.0
43.292,76.931,729.0
43.236,76.898,828.0
43.259,76.792,762.0
43.246,76.925,819.0
43.312,76.902,715.0
43.294,76.774,746.0
43.201,76.949,1065.0
43.324,77.005,689.0
43.309,76.881,702.0
43.286,77.008,747.0
43.321,76.999,691.0
43.292,76.854,730.0
43.203,76.983,1112.0
43.272,76.969,762.0
43.223,77.024,1254.0
43.201,76.975,1083.0
43.274,76.981,779.0
43.272,76.83,744.0
43.22,76.9,881.0
43.285,76.952,738.0
43.312,77.036,719.0
43.201,77.062,1824.0
43.306,76.995,708.0
43.235,76.889,826.0
43.28,76.98,756.0
43.267,76.987,804.0
43.205,76.777,807.0
43.297,76.839,728.0
43.241,76.889,805.0
43.249,76.996,996.0
43.206,77.034,1449.0
43.236,76.918,833.0
43.341,76.904,694.0
43.287,76.972,733.0
43.227,76.866,848.0
43.204,77.065,1657.0
43.255,76.87,767.0
43.345,76.844,697.0
43.323,76.847,714.0
43.293,76.877,736.0
43.317,76.777,729.0
43.314,76.961,700.0
43.215,76.973,1032.0
43.292,76.834,746.0
43.336,76.909,694.0
43.214,77.008,1224.0
43.343,76.851,695.0
